match_date,home,away,score,selection,p_raw,p_calibrated,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
2024-01-29,Kayserispor,Antalyaspor,1-1,Under 2.5,0.5090518229043874,0.5585352890759367,1.95,1.9,8.914381369807668,237.8477946468141,True,225.9554049144734,12899.600133631555,2.6315789473684292
2024-01-29,Galatasaray,Gaziantep,2-1,Under 2.5,0.3851139233612296,0.3775331115908853,2.88,3.3,8.729536138174975,119.79523993036518,False,-119.79523993036518,12779.80489370119,-12.72727272727272
2024-02-02,Hatayspor,Karagumruk,3-1,Over 2.5,0.5228321515435937,0.48772548997972237,2.25,2.36,9.738235245437533,199.1243943130496,True,248.905492891312,13028.710386592502,-4.6610169491525415
2024-02-03,Rizespor,Konyaspor,0-0,Under 2.5,0.5368545487480059,0.5879553508376913,1.85,1.95,8.771739904972907,268.9046089609609,True,228.5689176168168,13257.279304209318,-5.128205128205121
2024-02-11,Sivasspor,Rizespor,1-0,Under 2.5,0.5363330284903649,0.5988449466841925,1.88,1.89,12.582849976628196,379.1235376889172,True,333.6287131662471,13590.908017375565,-0.5291005291005346
2024-02-11,Istanbulspor,Gaziantep,1-3,Under 2.5,0.5581047970182106,0.6323751604598844,1.75,1.74,10.665653080479775,386.54909323210376,False,-386.54909323210376,13204.35892414346,0.5747126436781658
2024-02-17,Hatayspor,Sivasspor,1-1,Under 2.5,0.5467398078602662,0.6199485099635762,1.7,1.75,5.3912466938079495,203.39416112469124,True,142.37591278728385,13346.734836930744,-2.857142857142858
2024-02-18,Alanyaspor,Ad. Demirspor,3-3,Over 2.5,0.6117864347921531,0.6331158174669874,1.8,1.77,13.960847144057741,400.4020451079223,True,320.3216360863379,13667.05647301708,1.6949152542372836
2024-02-19,Besiktas,Konyaspor,2-0,Under 2.5,0.49530154308155894,0.5391534041552792,2.08,2.12,12.143908064298081,307.3545876257212,True,331.9429546357789,13998.99942765286,-1.8867924528301883
2024-02-19,Buyuksehyr,Kayserispor,2-3,Under 2.5,0.5134670036706988,0.5680821039446644,2.0,1.98,13.616420788932881,381.2325336619038,False,-381.2325336619038,13617.766893990956,1.0101010101010166
2024-02-24,Kayserispor,Ankaragucu,3-2,Under 2.5,0.53605038319804,0.6022432254959285,1.85,1.74,11.414996716746773,365.75709266901094,False,-365.75709266901094,13252.009801321945,6.321839080459779
2024-02-24,Fenerbahce,Kasimpasa,2-1,Over 2.5,0.8055288574955651,0.886169111421495,1.25,1.39,10.771138927686884,397.56029403965834,True,99.3900735099146,13351.399874831859,-10.071942446043158
2024-02-25,Trabzonspor,Ad. Demirspor,1-0,Over 2.5,0.6235166310058932,0.6474234028730754,1.7,1.68,10.06197848842283,383.8328523739694,False,-383.8328523739694,12967.56702245789,1.1904761904761862
