league,match_date,home,away,score,selection,p_raw,p_calibrated,market_odds,closing_odds,edge_pct,stake,won,pnl,bankroll_after,clv_pct
E0,2023-12-28,Arsenal,West Ham,0-2,Over 2.5,0.6642651975999008,0.7166068928720427,1.57,1.61,12.507282180910707,268.87027824364924,False,-268.87027824364924,8693.472329877994,-2.4844720496894457
E0,2023-12-30,Man City,Sheffield United,2-0,Over 2.5,0.8743653278690444,0.8736182687950579,1.3,1.3,13.570374943357532,260.8041698963398,False,-260.8041698963398,8432.668159981655,0.0
E0,2023-12-31,Fulham,Arsenal,2-1,Over 2.5,0.5955550471673046,0.6490838860283856,1.73,1.83,12.291512282910722,252.98004479944964,True,184.67543270359826,8617.343592685253,-5.464480874316946
E0,2024-01-02,West Ham,Brighton,0-0,Over 2.5,0.6254560499808037,0.6730009978840736,1.6,1.74,7.680159661451791,220.60858216470425,False,-220.60858216470425,8396.735010520548,-8.045977011494243
E0,2024-01-20,Brentford,Nott'm Forest,3-2,Over 2.5,0.5340536593322821,0.6083570469781949,1.86,1.92,13.154410737944255,251.90205031561644,True,216.63576327143014,8613.370773791978,-3.124999999999989
E0,2024-01-30,Nott'm Forest,Arsenal,1-2,Over 2.5,0.6111250282907422,0.6494503064240095,1.62,1.79,5.210949640689533,144.78658496392617,True,89.76768267763424,8703.138456469613,-9.49720670391061
E0,2024-01-30,Luton,Brighton,4-0,Over 2.5,0.6462319083787422,0.6656348183740249,1.65,1.7,9.829745031714099,261.0941536940884,True,169.71119990115744,8872.84965637077,-2.941176470588236
E0,2024-02-03,Newcastle,Luton,4-4,Over 2.5,0.6838573015093953,0.6833608258669842,1.57,1.61,7.287649661116524,226.88498172416953,True,129.32443958277665,9002.174095953547,-2.4844720496894457
E0,2024-02-04,Arsenal,Liverpool,3-1,Over 2.5,0.5746119485963199,0.6328170416427847,1.67,1.71,5.680445954345048,152.64586096617649,True,102.27272684733825,9104.446822800886,-2.3391812865497075
E0,2024-02-10,Nott'm Forest,Newcastle,2-3,Over 2.5,0.5782774518732522,0.6514218993971252,1.7,1.68,10.741722897511297,273.1334046840266,True,191.1933832788186,9295.640206079705,1.1904761904761862
E0,2024-02-10,Wolves,Brentford,0-2,Over 2.5,0.48912935189226925,0.6104730132970189,1.75,1.83,6.83277732697829,169.37343903959817,False,-169.37343903959817,9126.266767040106,-4.371584699453557
E0,2024-02-10,Fulham,Bournemouth,3-1,Over 2.5,0.5601741067101669,0.6431625710752796,1.73,1.82,11.267124796023364,273.78800301120316,True,199.8652421981783,9326.132009238285,-4.94505494505495
